X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.6834,46.50452,0,0,186,383,2010/01/01 01:00:19+00,,,,,,,,,,,,,,,,,,,,,
6.68306,46.50456,0,0,187,383,2010/01/01 01:00:25+00,,,,,,,,,,,,,,,,,,,,,
6.68264,46.50455,0,0,188,381,2010/01/01 01:00:33+00,,,,,,,,,,,,,,,,,,,,,
6.68091,46.50412,0,0,189,378,2010/01/01 01:01:04+00,,,,,,,,,,,,,,,,,,,,,
6.67976,46.50411,0,0,190,377,2010/01/01 01:01:24+00,,,,,,,,,,,,,,,,,,,,,
6.67811,46.50415,0,0,191,377,2010/01/01 01:01:52+00,,,,,,,,,,,,,,,,,,,,,
6.6757,46.50458,0,0,192,380,2010/01/01 01:02:35+00,,,,,,,,,,,,,,,,,,,,,
6.67489,46.50478,0,0,193,383,2010/01/01 01:02:49+00,,,,,,,,,,,,,,,,,,,,,
6.67289,46.50503,0,0,194,383,2010/01/01 01:03:24+00,,,,,,,,,,,,,,,,,,,,,
6.67225,46.50517,0,0,195,383,2010/01/01 01:03:36+00,,,,,,,,,,,,,,,,,,,,,
6.67173,46.50534,0,0,196,381,2010/01/01 01:03:46+00,,,,,,,,,,,,,,,,,,,,,
6.67053,46.5059,0,0,197,385,2010/01/01 01:04:10+00,,,,,,,,,,,,,,,,,,,,,
6.66977,46.5062,0,0,198,383,2010/01/01 01:04:25+00,,,,,,,,,,,,,,,,,,,,,
6.66886,46.50631,0,0,199,386,2010/01/01 01:04:41+00,,,,,,,,,,,,,,,,,,,,,
6.66825,46.50644,0,0,200,386,2010/01/01 01:04:52+00,,,,,,,,,,,,,,,,,,,,,
6.66588,46.50717,0,0,201,387,2010/01/01 01:05:37+00,,,,,,,,,,,,,,,,,,,,,
6.66499,46.50723,0,0,202,386,2010/01/01 01:05:52+00,,,,,,,,,,,,,,,,,,,,,
6.66419,46.50717,0,0,203,385,2010/01/01 01:06:06+00,,,,,,,,,,,,,,,,,,,,,
6.6612,46.50668,0,0,204,383,2010/01/01 01:06:58+00,,,,,,,,,,,,,,,,,,,,,
6.65919,46.50684,0,0,205,380,2010/01/01 01:07:33+00,,,,,,,,,,,,,,,,,,,,,
6.65815,46.50679,0,0,206,381,2010/01/01 01:07:51+00,,,,,,,,,,,,,,,,,,,,,
6.6567,46.50663,0,0,207,384,2010/01/01 01:08:16+00,,,,,,,,,,,,,,,,,,,,,
6.65419,46.50645,0,0,208,386,2010/01/01 01:08:59+00,,,,,,,,,,,,,,,,,,,,,
6.65196,46.50642,0,0,209,386,2010/01/01 01:09:37+00,,,,,,,,,,,,,,,,,,,,,
6.64312,46.50659,0,0,210,387,2010/01/01 01:12:09+00,,,,,,,,,,,,,,,,,,,,,
6.6426,46.5066,0,0,211,388,2010/01/01 01:12:18+00,,,,,,,,,,,,,,,,,,,,,
6.64229,46.50612,0,0,212,379,2010/01/01 01:12:31+00,,,,,,,,,,,,,,,,,,,,,
6.64209,46.50567,0,0,213,379,2010/01/01 01:12:43+00,,,,,,,,,,,,,,,,,,,,,
6.64171,46.50537,0,0,214,373,2010/01/01 01:12:52+00,,,,,,,,,,,,,,,,,,,,,
6.64127,46.50527,0,0,215,373,2010/01/01 01:13:00+00,,,,,,,,,,,,,,,,,,,,,
6.64108,46.50527,0,0,216,370,2010/01/01 01:13:04+00,,,,,,,,,,,,,,,,,,,,,
6.64086,46.50532,0,0,217,370,2010/01/01 01:13:08+00,,,,,,,,,,,,,,,,,,,,,
6.63777,46.50616,0,0,218,370,2010/01/01 01:14:04+00,,,,,,,,,,,,,,,,,,,,,
6.63338,46.50728,0,0,219,380,2010/01/01 01:15:25+00,,,,,,,,,,,,,,,,,,,,,
